,Movie Name,Movie Year,Movie url,Genre,Runtime,Box Office,Critic Ratings,Audience Ratings
0,The Godfather,1972,http://www.rottentomatoes.com/m/12911,"drama,crime",2h 57m,134.8M,98,98
1,12 Angry Men,1957,http://www.rottentomatoes.com/m/18108,drama,1h 35m,Not available!,100,97
2,The Godfather: Part II,1974,http://www.rottentomatoes.com/m/12926,"drama,crime",3h 20m,Not available!,98,97
3,Seven Samurai,1954,http://www.rottentomatoes.com/m/16992,action,3h 28m,271.7K,100,97
4,Schindler's List,1993,http://www.rottentomatoes.com/m/12903,"history,drama",3h 15m,96.6M,97,97
5,The Shawshank Redemption,1994,http://www.rottentomatoes.com/m/12989,drama,2h 22m,27.3M,91,98
6,City Lights,1931,http://www.rottentomatoes.com/m/17880,"romance,comedy,drama",1h 27m,18.2K,98,96
7,"The Good, the Bad and the Ugly",1966,http://www.rottentomatoes.com/m/13308,western,2h 41m,Not available!,97,97
8,Pulp Fiction,1994,http://www.rottentomatoes.com/m/13863,"drama,crime",2h 33m,Not available!,92,96
9,Psycho,1960,http://www.rottentomatoes.com/m/12879,"mysteryandthriller,horror",1h 49m,Not available!,96,95
10,Harakiri,1962,http://www.rottentomatoes.com/m/18354,drama,2h 15m,Not available!,100,97
11,Modern Times,1936,http://www.rottentomatoes.com/m/17958,comedy,1h 29m,163.2K,100,95
12,The Lord of the Rings: The Return of the King,2003,http://www.rottentomatoes.com/m/10156,"fantasy,adventure",3h 20m,377.8M,93,86
13,The Dark Knight,2008,http://www.rottentomatoes.com/m/769959054,"adventure,action,fantasy",2h 32m,2.0M,94,94
14,Parasite,2019,The url does not exist!,"adventure,action,fantasy",2h 32m,2.0M,94,94
15,Spirited Away,2001,http://www.rottentomatoes.com/m/10065,"fantasy,adventure,animation",2h 5m,10.0M,97,96
16,Casablanca,1942,http://www.rottentomatoes.com/m/10056,drama,1h 42m,Not available!,99,95
17,Rear Window,1954,http://www.rottentomatoes.com/m/10046,mysteryandthriller,1h 52m,1.6M,99,95
18,Goodfellas,1990,http://www.rottentomatoes.com/m/12924,"crime,drama",2h 26m,42.6M,96,97
19,Tokyo Story,1953,http://www.rottentomatoes.com/m/770692867,drama,2h 14m,Not available!,100,93
