,Movie_Name,Movie_url,Genre,Movie_Year,Box_Office_(USD),Box_Office_(USD_2020),Critic_Ratings,Audience_Ratings,Runtime_(min)
0,The Godfather,http://www.rottentomatoes.com/m/12911,"drama,crime",1972,134800000,838456000,98.0,98.0,177.0
1,12 Angry Men,http://www.rottentomatoes.com/m/18108,drama,1957,57020001,527435009,100.0,97.0,95.0
2,The Godfather: Part II,http://www.rottentomatoes.com/m/12926,"drama,crime",1974,57020001,300495405,98.0,97.0,200.0
3,Seven Samurai,http://www.rottentomatoes.com/m/16992,action,1954,271700,2624622,100.0,97.0,208.0
4,Schindler's List,http://www.rottentomatoes.com/m/12903,"history,drama",1993,96600000,173880000,97.0,97.0,195.0
5,The Shawshank Redemption,http://www.rottentomatoes.com/m/12989,drama,1994,27300000,47775000,91.0,98.0,142.0
6,City Lights,http://www.rottentomatoes.com/m/17880,"romance,comedy,drama",1931,18200,311220,98.0,96.0,87.0
7,"The Good, the Bad and the Ugly",http://www.rottentomatoes.com/m/13308,western,1966,57020001,457300408,97.0,97.0,161.0
8,Pulp Fiction,http://www.rottentomatoes.com/m/13863,"drama,crime",1994,57020001,99785002,92.0,96.0,153.0
9,Psycho,http://www.rottentomatoes.com/m/12879,"mysteryandthriller,horror",1960,57020001,500635609,96.0,95.0,109.0
10,Harakiri,http://www.rottentomatoes.com/m/18354,drama,1962,57020001,490942209,100.0,97.0,135.0
11,Modern Times,http://www.rottentomatoes.com/m/17958,comedy,1936,163200,3051840,100.0,95.0,89.0
12,The Lord of the Rings: The Return of the King,http://www.rottentomatoes.com/m/10156,"fantasy,adventure",2003,377800000,532698000,93.0,88.0,200.0
13,The Dark Knight,http://www.rottentomatoes.com/m/769959054,"adventure,action,fantasy",2008,2000000,2420000,94.0,94.0,152.0
14,Parasite,The url does not exist!,"adventure,action,fantasy",2019,2000000,2040000,94.0,94.0,152.0
15,Spirited Away,http://www.rottentomatoes.com/m/10065,"fantasy,adventure,animation",2001,1000000,1470000,97.0,96.0,125.0
16,Casablanca,http://www.rottentomatoes.com/m/10056,drama,1942,57020001,909469016,99.0,95.0,102.0
17,Rear Window,http://www.rottentomatoes.com/m/10046,mysteryandthriller,1954,1600000,15456000,99.0,95.0,112.0
18,Goodfellas,http://www.rottentomatoes.com/m/12924,"crime,drama",1990,42600000,84774000,96.0,97.0,146.0
19,Tokyo Story,http://www.rottentomatoes.com/m/770692867,drama,1953,57020001,554804610,100.0,93.0,134.0
20,Singin' in the Rain,http://www.rottentomatoes.com/m/9924,"musical,comedy",1952,23900,234459,100.0,95.0,102.0
21,Ikiru,http://www.rottentomatoes.com/m/10866,drama,1952,55200,541512,98.0,97.0,143.0
22,It's a Wonderful Life,http://www.rottentomatoes.com/m/18062,"comedy,drama,other",1946,57020001,760076613,94.0,95.0,129.0
23,The Great Dictator,http://www.rottentomatoes.com/m/9962,comedy,1940,57020001,1058861419,93.0,95.0,128.0
24,Sunset Boulevard,http://www.rottentomatoes.com/m/17003,drama,1950,57020001,614675611,99.0,95.0,110.0
25,One Flew Over the Cuckoo's Nest,http://www.rottentomatoes.com/m/12965,drama,1975,57020001,275406605,94.0,96.0,133.0
26,"Sherlock, Jr.",http://www.rottentomatoes.com/m/238425545,"drama,comedy",1924,57020001,866704015,96.0,95.0,126.0
27,Children of Paradise,http://www.rottentomatoes.com/m/19218,romance,1945,31900,460636,98.0,96.0,195.0
28,The Empire Strikes Back,http://www.rottentomatoes.com/m/11470,"action,scifi,fantasy,adventure",1980,291400000,917910000,94.0,97.0,124.0
29,The Lord of the Rings: The Fellowship of the Ring,http://www.rottentomatoes.com/m/12769,"fantasy,adventure",2001,315500000,463785000,91.0,95.0,178.0
30,Paths of Glory,http://www.rottentomatoes.com/m/17114,"war,drama",1957,57020001,527435009,95.0,95.0,86.0
31,The Lord of the Rings: The Two Towers,http://www.rottentomatoes.com/m/10513,"fantasy,adventure",2002,342600000,493344000,95.0,95.0,179.0
32,The Best of Youth,http://www.rottentomatoes.com/m/277029659,drama,2003,250400,353064,94.0,98.0,358.0
33,Metropolis,http://www.rottentomatoes.com/m/18225,"scifi,drama",1927,1200000,17928000,97.0,92.0,123.0
34,All About Eve,http://www.rottentomatoes.com/m/17714,drama,1950,10200,109956,99.0,94.0,138.0
35,Le Trou,http://www.rottentomatoes.com/m/770672957,"fantasy,animation",1960,57020001,500635609,94.0,97.0,126.0
36,Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,http://www.rottentomatoes.com/m/12368,comedy,1964,57020001,477827608,98.0,94.0,93.0
37,The Kid,http://www.rottentomatoes.com/m/265820930,"drama,comedy",1921,57020001,827930415,100.0,95.0,60.0
38,Apocalypse Now,http://www.rottentomatoes.com/m/13092,"war,drama",1979,78800000,282104000,98.0,94.0,153.0
39,Bicycle Thieves,http://www.rottentomatoes.com/search/?search=Bicycle+Thieves,The genre is not known!,1948,57020001,614675611,95.0,93.0,126.0
40,Vertigo,http://www.rottentomatoes.com/m/22490,mysteryandthriller,1958,1800000,16182000,94.0,93.0,128.0
41,Portrait of a Lady on Fire,The url does not exist!,mysteryandthriller,2019,1800000,1836000,94.0,93.0,128.0
42,Citizen Kane,http://www.rottentomatoes.com/m/10074,drama,1941,977300,17278664,100.0,90.0,119.0
43,Witness for the Prosecution,http://www.rottentomatoes.com/m/18323,"mysteryandthriller,drama,crime",1957,57020001,527435009,100.0,95.0,114.0
44,High and Low,http://www.rottentomatoes.com/m/20610,"drama,crime",1963,57020001,484099808,95.0,95.0,142.0
45,Double Indemnity,http://www.rottentomatoes.com/m/17019,"drama,crime",1944,57020001,842185415,97.0,95.0,106.0
46,The Silence of the Lambs,http://www.rottentomatoes.com/m/16286,"crime,drama,mysteryandthriller",1991,130700000,249637000,96.0,95.0,119.0
47,WALL·E,http://www.rottentomatoes.com/m/770671491,"animation,adventure,comedy,kidsandfamily,scifi",2008,57020001,68994201,95.0,90.0,97.0
